id,latitude,longitude,step 1,step 2,step 3,step 4,step 5.1,step 5.2
GB0351_T,55.85212573722932,-4.263799903239597,1,1,1,1,1,1
GB0401_R,55.85518827784578,-4.261964781256888,1,1,0,0,0,0
GB0401_V,55.85401868549479,-4.260075322569159,1,1,1,1,1,0
GB0401_X,55.85513382354682,-4.2619935727729565,1,1,1,0,0,0
GB0451_B,55.85373689021758,-4.25878073708297,1,1,1,1,0,0
GB0451_F,55.853773094916725,-4.258766860644925,1,1,1,1,0,0
GB0451_G,55.853113857427466,-4.2604062370734415,1,1,1,1,0,0
GB0501_A,55.854900683738606,-4.259519372285603,1,1,1,1,1,1
GB0501_D,0.0,0.0,0,0,0,0,0,0
GB0551_T,55.85462064090356,-4.258128994483621,1,1,1,1,0,0
GB0601_B,55.8522989835089,-4.2558373730905386,1,1,1,1,1,1
GB0601_C,55.85191162903988,-4.259313884868472,1,1,1,1,1,1
GB0601_D,55.85356143504636,-4.258546866124735,1,1,1,1,1,1
GB0651_R,55.85227731317151,-4.263377336086736,1,1,1,1,1,1
GB0651_T,55.852575516520176,-4.258889083216377,1,1,1,1,1,1
GB0651_V,55.851080091861725,-4.259569172106359,1,1,1,1,1,1
GB0701_B,55.85058204577753,-4.25781480106621,1,1,1,1,1,0
GB0701_C,55.848971820132256,-4.260341430150529,1,1,1,1,1,1
GB0701_D,55.85159769553717,-4.25927968434419,1,1,1,1,1,1
GB0751_S,55.848209730275,-4.255344777421482,1,1,1,1,1,1
GB0751_T,55.85049447586942,-4.259647009961127,1,1,1,1,1,1
GB0751_V,55.84708106668321,-4.2610144172166216,1,1,1,1,1,1
GB1101_A,55.85239305726846,-4.2560984608210015,1,1,1,1,1,1
GB1101_B,55.85147429775186,-4.251795373003277,1,1,1,1,1,1
GB1101_C,55.85040383535716,-4.253810369852116,1,1,1,1,1,1
GB1151_S,55.84994934573832,-4.252617792026866,1,1,1,1,1,0
GB1151_V,55.84836332507429,-4.254810508579215,1,1,1,1,1,0
GB1201_A,55.84836128637019,-4.2563919684235225,1,1,1,1,1,0
GB1201_E,55.84687582162568,-4.255059820284952,1,1,1,0,0,0
GB1271_B,55.84525087190711,-4.253000859595266,1,1,1,1,1,1
GB1271_C,55.84533766837599,-4.255130462994988,1,1,1,1,1,0
GB1271_D,55.84790182656032,-4.254000984304182,1,1,1,1,1,1
GB1281_L,55.84495278725721,-4.255044271331268,1,1,1,1,1,0
GB1301_R,55.84814297209657,-4.254574088234247,1,1,1,1,0,0
GB1301_T,55.849495854109286,-4.252351907449826,1,1,1,1,1,0
GB1301_V,55.84730197077243,-4.254365627919512,1,1,1,1,1,0
GB1301_X,55.84817917636792,-4.254560209726458,1,1,1,0,0,0
GB1321_M,55.850391253435,-4.249096617638584,1,1,1,1,1,1
GB1321_N,55.84823488775151,-4.253972343846086,1,1,1,1,1,0
GB1351_A,55.851104386376846,-4.250399980517572,1,1,1,1,1,0
GB1351_B,55.85025619642351,-4.247634971763607,1,1,1,1,1,0
GB1351_C,55.84993067425591,-4.251674117704976,1,1,1,1,1,0
GB1351_D,55.851695525808246,-4.248053605405016,1,1,1,1,1,0
GB1351_F,55.85171231500156,-4.2481184826685405,1,1,1,1,0,0
GB1371_R,55.85163728168428,-4.252220201090998,1,1,1,1,1,1
