sensor,start,end,length_hours,value
GD0501_D,2022-04-16 00:00:00,2022-04-16 05:00:00,6,0.0
GD0501_D,2022-03-25 00:00:00,2022-03-25 05:00:00,6,0.0
GD0501_D,2022-05-31 23:00:00,2022-06-01 04:00:00,6,0.0
GD0501_D,2022-06-04 00:00:00,2022-06-04 05:00:00,6,0.0
GD0501_D,2022-06-08 23:00:00,2022-06-09 04:00:00,6,0.0
GD0501_D,2022-05-21 00:00:00,2022-05-21 05:00:00,6,0.0
GD0501_D,2022-06-11 00:00:00,2022-06-11 05:00:00,6,0.0
GD0501_D,2022-06-12 23:00:00,2022-06-13 04:00:00,6,0.0
GD0501_D,2022-06-14 23:00:00,2022-06-15 04:00:00,6,0.0
GD0501_D,2022-06-19 23:00:00,2022-06-20 04:00:00,6,0.0
GD0501_D,2022-06-28 23:00:00,2022-06-29 04:00:00,6,0.0
GD0501_D,2021-09-02 22:00:00,2021-09-03 03:00:00,6,0.0
GD0501_D,2021-08-26 00:00:00,2021-08-26 05:00:00,6,0.0
GD0501_D,2021-08-02 23:00:00,2021-08-03 04:00:00,6,0.0
GD0501_D,2022-07-26 23:00:00,2022-07-27 04:00:00,6,0.0
GD0501_D,2022-07-25 23:00:00,2022-07-26 04:00:00,6,0.0
GD0501_D,2022-07-24 23:00:00,2022-07-25 04:00:00,6,0.0
GD0501_D,2022-07-31 23:00:00,2022-08-01 04:00:00,6,0.0
GD0501_D,2022-08-07 23:00:00,2022-08-08 04:00:00,6,0.0
GD0501_D,2022-11-15 00:00:00,2022-11-15 05:00:00,6,0.0
GD0501_D,2022-08-04 23:00:00,2022-08-05 04:00:00,6,0.0
GD0501_D,2022-08-01 23:00:00,2022-08-02 04:00:00,6,0.0
GD0501_D,2023-04-04 23:00:00,2023-04-05 04:00:00,6,0.0
GD0501_D,2023-04-02 23:00:00,2023-04-03 04:00:00,6,0.0
GD0501_D,2023-04-11 23:00:00,2023-04-12 04:00:00,6,0.0
GD0501_D,2023-04-10 00:00:00,2023-04-10 05:00:00,6,0.0
GD0501_D,2023-04-13 23:00:00,2023-04-14 04:00:00,6,0.0
GD0501_D,2023-04-16 23:00:00,2023-04-17 04:00:00,6,0.0
GD0501_D,2023-04-19 23:00:00,2023-04-20 04:00:00,6,0.0
GD0501_D,2023-04-25 23:00:00,2023-04-26 04:00:00,6,0.0
GD0501_D,2023-06-04 23:00:00,2023-06-05 04:00:00,6,0.0
GD0501_D,2023-06-06 23:00:00,2023-06-07 04:00:00,6,0.0
GD0501_D,2023-06-11 23:00:00,2023-06-12 04:00:00,6,0.0
GD0501_D,2023-06-13 23:00:00,2023-06-14 04:00:00,6,0.0
GD0501_D,2023-06-20 23:00:00,2023-06-21 04:00:00,6,0.0
GD0501_D,2023-06-27 23:00:00,2023-06-28 04:00:00,6,0.0
GD0501_D,2023-07-02 23:00:00,2023-07-03 04:00:00,6,0.0
GD0501_D,2023-07-11 23:00:00,2023-07-12 04:00:00,6,0.0
GD0501_D,2023-08-15 23:00:00,2023-08-16 04:00:00,6,0.0
GD0501_D,2023-08-22 23:00:00,2023-08-23 04:00:00,6,0.0
GD0501_D,2023-08-27 00:00:00,2023-08-27 05:00:00,6,0.0
GD0501_D,2023-08-29 23:00:00,2023-08-30 04:00:00,6,0.0
GD0501_D,2023-09-03 00:00:00,2023-09-03 05:00:00,6,0.0
GD0501_D,2023-09-05 23:00:00,2023-09-06 04:00:00,6,0.0
GD0501_D,2023-09-10 00:00:00,2023-09-10 05:00:00,6,0.0
GD0501_D,2023-09-12 23:00:00,2023-09-13 04:00:00,6,0.0
